Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N904KS,CLASSIC AIR MEDICAL,09/03/2026,3380.70,4140,,Engine 2,2407.30,2791.00,0,0.00,DISCREPANCY,,,,"Number 2 engine, oil consumption beyond limits as noted by mx preflight.  Engine runups complete and oil levels verified warm/cold.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,09/03/2026,,,,,,,,,,,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,31 1581,Airframe,4401.10,0.00,5061,0.00,PART,None,RECOMMENDED,,10 YEAR REPLACEMENT OF (MDC) MAINTENANCE DIAGNOSTIC COMPUTER RECOMMENDED BY ROCKWELL COLLINS - REF. 31-40-11,,822-1987-005,426YGC,,,,,02/14/2014,,0,,,,120,,,,,,,,,,,08/14/2024,,,,,,,,,,-20,,-24,,,,,,,,,,Yes,Past Due,,08/14/2024,0,0,0,0.00,0.00,0.00,0,0,0,,
N381HC,IHC Health Services,09/03/2026,10368.60,12197,72 0100,Airframe,10368.60,,12197,,INSPECTION,,CONDITION CHECK,,CAMPS POWER ASSURANCE CHECK FORM,RFM,,,000038,"Tuesday, June 16, 2026",,,06/01/2026,10350.00,12181,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,07/01/2026,,,,,,,,,,-2,,-2,,,,,,,,,,No,Past Due,,07/01/2026,,,,,,,,,,PILOT GOM,
N381HC,IHC Health Services,09/03/2026,10368.60,12197,34 GOM,Airframe,10368.60,,12197,,INSPECTION,,FAR 91.171,,VOR  30 DAY CHECK,,,,,,,,06/06/2026,10368.60,12197,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,07/06/2026,,,,,,,,,,-28,,-1,,,,,,,,,,No,Past Due,,07/06/2026,,,,,,,,,,PILOT GOM,
N381HC,IHC Health Services,09/03/2026,10368.60,12197,05 1020,Airframe,10368.60,,12197,,INSPECTION,,INSPECT,,PHASES 1 THRU 4 COMPLETED TAG,,,,000038,"Tuesday, June 16, 2026",,(END OF MONTH),07/18/2024,9153.90,10808,,,0,24,,0,0.00,0.00,,,,,,,07/31/2026,,,,,,,,,,-3,,-1,,,,,,,,,,No,Past Due,,07/31/2026,,,,,,,,,,,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,26 2102,Airframe,4401.10,0.00,5061,0.00,INSPECTION,,,CABIN FIREX,30 DAY CABIN FIRE EXTINGUISHER INSPECTION,,C352,I-57523562,,,,,07/27/2026,4347.70,4984,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,08/26/2026,,,,,,,,,,-8,,0,,,,,,,,,,No,Past Due,,08/26/2026,,,,,,,,,,,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,26 2102,Airframe,4401.10,0.00,5061,0.00,INSPECTION,,,FL C FIREX,30 DAY COCKPIT FIRE EXTINGUISHER INSPECTION,,C352,U-307744,,,,,07/27/2026,4347.70,4984,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,08/26/2026,,,,,,,,,,-8,,0,,,,,,,,,,No,Past Due,,08/26/2026,,,,,,,,,,,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,05 -25-04,Airframe,4401.10,0.00,5061,0.00,INSPECTION,,Routine Inspections,,ACCOMPLISH PHASE 4 INSPECTION,,,,2026-90HG-054,"Monday, August 17, 2026",,"work completed by INTERMOUNTAIN LIFE FLIGHT 250 N 2370 W Salt Lake City, UT 84116 United States - see logbook entry attached",11/21/2024,3598.30,4005,,,,24,800.00,,,,,,20.00,,,,11/30/2026,,4398.30,,,,,,,,27,,2,,-2.80,,,,,,,,No,Within Tolerance,,09/02/2026,,,,,,,,,,,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,12 2060,Airframe,4401.10,0.00,5061,0.00,INSPECTION,,,,LUBRICATION 800 HOUR,,,,2026-90HG-054,"Monday, August 17, 2026",,,11/15/2024,3598.30,4005,,,,,800.00,,,,,,20.00,,,,,,4398.30,,,,,,,,,,,,-2.80,,,,,,,,No,Within Tolerance,,09/02/2026,,,,,,,,,,,
N381HC,IHC Health Services,09/03/2026,10368.60,12197,05 0020,Airframe,10368.60,,12197,,INSPECTION,,INSPECT,,PHASE 2 SCHEDULED INSPECTION PROGRAM - INSPECTION/CHECK,Rev 12.1 Feb 06 2023,,,000038,"Tuesday, June 16, 2026",,,05/08/2025,9568.10,11285,,,0,0,800.00,0,0.00,0.00,,,20.00,,,,,,10368.10,,,,,,,,,,,,-0.50,,,,,,,,No,Within Tolerance,,09/03/2026,,,,,,,,,,Revision B200,
N381HC,IHC Health Services,09/03/2026,10368.60,12197,12 2003,Airframe,10368.60,,12197,,INSPECTION,,LUB,,COMPLY WITH 800 HR LUBE ITEMS,,,,000038,"Tuesday, June 16, 2026",,[80 HOUR WINDOW]  [CUSTOM FREQUENCY],05/07/2025,9568.10,11285,,,0,0,800.00,0,0.00,0.00,,,80.00,,,,,,10368.10,,,,,,,,,,,,-0.50,,,,,,,,No,Within Tolerance,,09/03/2026,,,,,,,,,,,
N981HC,IHC Health Services,09/03/2026,1427.80,1046,72 0100,Airframe,1427.80,,1046,,INSPECTION,,CONDITION CHECK,,CAMPS POWER ASSURANCE CHECK FORM,RFM,,,,,,,08/04/2026,1365.20,984,,,0,1,,0,0.00,0.00,0,10,,0,0.00,0.00,09/04/2026,,,,,,,,,,1,,0,,,,,,,,,,No,Coming Due,,09/04/2026,,,,,,,,,,PILOT GOM,
N904KS,CLASSIC AIR MEDICAL,09/03/2026,3380.70,4140,00 0624 STC,Airframe,3380.70,0.00,4140,0.00,INSPECTION,,INFORMATIONAL,,FW RECORDS - LIFEPORT UNIT - STC SA00273WI - CHECK FOR LATEST REVISION ICA EGR-677-12,,,,,,,https://lifeport.com/pages/document-library,07/07/2026,3319.50,4054,,,60,0,,0,0.00,0.00,0,7,,0,0.00,0.00,09/05/2026,,,,,,,,,,2,,0,,,,,,,,,,No,Coming Due,,09/05/2026,,,,,,,,,,CUSTOM TASKS; ICA,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,72 0100,Airframe,10049.40,,11832,,INSPECTION,,CONDITION CHECK,,CAMPS POWER ASSURANCE CHECK FORM,RFM,,,,,,,08/06/2026,10013.10,11798,,,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,09/05/2026,,,,,,,,,,2,,0,,,,,,,,,,No,Coming Due,,09/05/2026,,,,,,,,,,PILOT GOM,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,05 -25-05 INFO,Airframe,4401.10,0.00,5061,0.00,INSPECTION,,INFORMATIONAL,,PHASE (NOT TO EXCEED 200 HRS IN 12 MOS) - informational only - reference of time since last Phase inspection,,,,,,,This Maintenance task is informational only. It has been created with the purpose of not to exceed 200hrs between two Phase inspections. Records personal can add compliance to this informational only item based on the signed off phase inspections,06/03/2026,4206.70,4808,,,0,12,200.00,0,0.00,0.00,0,0,20.00,0,0.00,0.00,06/30/2027,,4406.70,,,,,,,,27,,9,,5.60,,,,,,,,Yes,Coming Due,,09/06/2026,,,,,,,,,,,
N90HG,CLASSIC AIR MEDICAL,08/30/2026,4401.10,5061,12 2020,Airframe,4401.10,0.00,5061,0.00,INSPECTION,,,,LUBRICATION 200 HOUR,,,,2026-90HG-054,"Monday, August 17, 2026",,"Previous phase completed within the 20 hour window, but early. adjusted to show correct next due time",06/03/2026,4206.70,4808,,,,,200.00,,,,,,20.00,,,,,,4406.70,,,,,,,,,,,,5.60,,,,,,,,No,Coming Due,,09/06/2026,,,,,,,,,,,
N981HC,IHC Health Services,09/03/2026,1427.80,1046,35 GMM CH 5-7.6,Airframe,1427.80,,1046,,INSPECTION,,,,INSTALLED PORTABLE OXYGEN BOTTLES  7 DAY VERIFICATION OF HYDROSTATIC DATE,,,,,,,"Medical  ""E"" Cylinder Hydro Date:_____. No Discrepancies Noted at this Time. All Work Completed IAW ILF GMM.",08/30/2026,1420.00,1040,,,7,0,,0,0.00,0.00,0,1,,0,0.00,0.00,09/06/2026,,,,,,,,,,3,,0,,,,,,,,,,No,Coming Due,,09/06/2026,,,,,,,,,,PILOT GOM,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,21 3003,Airframe,10049.40,,11832,,INSPECTION,,,,CABIN ALTITUDE WARNING PRESSURE SWITCH CHECK,,,,,,,[12 DAY WINDOW],09/07/2025,9253.80,10973,,,0,12,,0,0.00,0.00,,12,,,,,09/07/2026,,,,,,,,,,4,,0,,,,,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,,
N981HC,IHC Health Services,09/03/2026,1427.80,1046,26 22-00-2100,Airframe,1427.80,,1046,,INSPECTION,,,,CABIN PORTABLE FIRE EXTINGUISHER - MONTHLY INSPECTION,,,,,,,"C/W Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time",08/07/2026,1368.50,988,,,0,1,,0,0.00,0.00,0,0,,0,0.00,0.00,09/07/2026,,,,,,,,,,4,,0,,,,,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,,
N981HC,IHC Health Services,09/03/2026,1427.80,1046,26 22-00-2101,Airframe,1427.80,,1046,,INSPECTION,,,,COCKPIT PORTABLE FIRE EXTINGUISHER - MONTHLY INSPECTION,,,,,,,"C/W Monthly Fire Extinguisher Inspection IAW IHC GMM Chapter 5 Section 4.0, Form QA-0145 & NFPA 10. No Discrepancies Noted at this time",08/07/2026,1368.50,988,,,0,1,,0,0.00,0.00,0,0,,0,0.00,0.00,09/07/2026,,,,,,,,,,4,,0,,,,,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,27 5020,Airframe,10049.40,,11832,,INSPECTION,,RII,,(RII)            REMOVE LH INBOARD FLAP AND INSPECT FOR WEAR,,,,,,,,09/07/2023,7884.20,9380,,,0,36,,3000,0.00,,,36,,300,,,09/07/2026,,,,12380,,,,,,4,,0,,,,548,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,RII,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,27 5021,Airframe,10049.40,,11832,,INSPECTION,,RII,,(RII)            REMOVE LH OUTBOARD FLAP AND INSPECT FOR WEAR,,,,,,,,09/07/2023,7884.20,9380,,,0,36,,3000,0.00,,,36,,300,,,09/07/2026,,,,12380,,,,,,4,,0,,,,548,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,RII,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,27 5022,Airframe,10049.40,,11832,,INSPECTION,,RII,,(RII)            REMOVE RH INBOARD FLAP AND INSPECT FOR WEAR,,,,,,,,09/07/2023,7884.20,9380,,,0,36,,3000,0.00,,,36,,300,,,09/07/2026,,,,12380,,,,,,4,,0,,,,548,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,RII,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,27 5023,Airframe,10049.40,,11832,,INSPECTION,,RII,,(RII)            REMOVE RH OUTBOARD FLAP AND INSPECT FOR WEAR,,,,,,,,09/07/2023,7884.20,9380,,,0,36,,3000,0.00,,,36,,300,,,09/07/2026,,,,12380,,,,,,4,,0,,,,548,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,RII,
N481HC,IHC Health Services,09/03/2026,10049.40,11832,35 0003,Airframe,10049.40,,11832,,INSPECTION,,,,AUTODEPLOY OXYGEN SYSTEM BAROMETRIC PRESSURE SWITCH CHECK,,,,,,,[12 DAY WINDOW],09/07/2025,9253.80,10973,,,0,12,,0,0.00,0.00,,12,,,,,09/07/2026,,,,,,,,,,4,,0,,,,,,,,,,No,Coming Due,,09/07/2026,,,,,,,,,,,
